timestamp,month,hour,weekday,day_type,irradiance_w_m2,solar_generation_kw,cloud_cover_pct,temperature_c,wind_speed_m_s,home_demand_kw,ev_demand_kw,total_demand_kw,balance_kw,status,grid_price_inr_per_kwh,p2p_sell_price_inr,p2p_buy_price_inr,bescom_feed_in_inr
2024-01-01 00:00,1,0,0,weekday,0,0,25.6,17.9,3.4,6.63,0.0,6.63,-6.63,DEFICIT,4.05,3.15,3.44,2.25
2024-01-01 01:00,1,1,0,weekday,0,0,27.2,18.4,2.9,6.1,0.0,6.1,-6.1,DEFICIT,4.41,3.33,3.74,2.25
2024-01-01 02:00,1,2,0,weekday,0,0,20.4,15.7,3.0,5.39,0.0,5.39,-5.39,DEFICIT,4.13,3.19,3.51,2.25
2024-01-01 03:00,1,3,0,weekday,0,0,30.4,16.2,3.5,5,0.0,5.0,-5.0,BALANCED,4.33,3.29,3.68,2.25
2024-01-01 04:00,1,4,0,weekday,0,0,26.3,17.6,3.0,5,2.38,7.38,-7.38,DEFICIT,4.54,3.39,3.86,2.25
2024-01-01 05:00,1,5,0,weekday,0,0,37.4,16.1,3.4,5.03,0.0,5.03,-5.03,DEFICIT,4.71,3.48,4.0,2.25
2024-01-01 06:00,1,6,0,weekday,33.2,3.37,27.3,17.6,2.8,15.45,0,15.45,-12.08,DEFICIT,5.73,3.99,4.87,2.25
2024-01-01 07:00,1,7,0,weekday,130.7,13.25,29.9,18.2,3.0,21.68,0.0,21.68,-8.42,DEFICIT,6.03,4.14,5.13,2.25
2024-01-01 08:00,1,8,0,weekday,276.4,28.03,30.8,21.5,3.9,15.96,0.0,15.96,12.07,SURPLUS,6.09,4.17,5.17,2.25
2024-01-01 09:00,1,9,0,weekday,335.0,33.97,26.1,22.3,2.5,11.52,0.0,11.52,22.46,SURPLUS,5.36,3.81,4.56,2.25
2024-01-01 10:00,1,10,0,weekday,482.9,48.96,33.3,23.6,3.7,8.5,0,8.5,40.46,SURPLUS,3.9,3.08,3.32,2.25
2024-01-01 11:00,1,11,0,weekday,621.5,63.02,14.1,24.1,2.8,8.4,0,8.4,54.61,SURPLUS,3.55,2.9,3.02,2.25
2024-01-01 12:00,1,12,0,weekday,628.3,63.45,24.0,26.0,1.7,10.81,0,10.81,52.63,SURPLUS,3.91,3.08,3.32,2.25
2024-01-01 13:00,1,13,0,weekday,598.5,60.23,34.3,26.9,2.6,9.63,0,9.63,50.6,SURPLUS,3.52,2.89,2.99,2.25
2024-01-01 14:00,1,14,0,weekday,508.3,51.29,34.3,26.2,4.7,8.9,0,8.9,42.4,SURPLUS,4.27,3.26,3.63,2.25
2024-01-01 15:00,1,15,0,weekday,471.1,47.63,10.4,25.7,2.9,10.92,0,10.92,36.71,SURPLUS,3.81,3.03,3.24,2.25
2024-01-01 16:00,1,16,0,weekday,295.5,29.96,11.5,24.3,5.0,11.72,0,11.72,18.24,SURPLUS,6.66,4.45,5.66,2.25
2024-01-01 17:00,1,17,0,weekday,143.4,14.54,13.2,21.7,2.3,16.06,0,16.06,-1.52,BALANCED,6.67,4.46,5.67,2.25
2024-01-01 18:00,1,18,0,weekday,33.8,3.42,18.9,25.4,3.7,21.31,11.21,32.53,-29.11,DEFICIT,7.36,4.8,6.25,2.25
