hub_id,transformer_id,timestamp,power_draw_kw,vehicles_charging,scheduled_end_time,status,flexible_charging_window
EVHUB-DT1,DT-1,2025-09-12T00:00:00,18.76,1,2025-09-12T00:58:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T00:00:00,8.82,1,2025-09-12T00:58:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T00:00:00,6.71,1,2025-09-12T01:25:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T00:00:00,13.53,1,2025-09-12T01:11:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T01:00:00,32.62,2,2025-09-12T01:40:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T01:00:00,0,0,,Idle,False
EVHUB-DT3,DT-3,2025-09-12T01:00:00,10.97,1,2025-09-12T01:53:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T01:00:00,31.93,2,2025-09-12T01:27:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T02:00:00,12.52,1,2025-09-12T02:20:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T02:00:00,21.09,1,2025-09-12T03:22:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T02:00:00,17.38,1,2025-09-12T02:40:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T02:00:00,21.67,1,2025-09-12T02:35:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T03:00:00,14.25,1,2025-09-12T03:54:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T03:00:00,6.43,1,2025-09-12T03:33:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T03:00:00,20.83,1,2025-09-12T03:57:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T03:00:00,15.29,1,2025-09-12T04:19:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T04:00:00,11.33,1,2025-09-12T05:26:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T04:00:00,7.05,1,2025-09-12T05:28:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T04:00:00,0,0,,Idle,False
EVHUB-DT4,DT-4,2025-09-12T04:00:00,10.61,1,2025-09-12T05:06:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T05:00:00,11.24,1,2025-09-12T05:26:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T05:00:00,10.73,1,2025-09-12T06:28:00,Charging,False
EVHUB-DT3,DT-3,2025-09-12T05:00:00,12.51,1,2025-09-12T06:20:00,Charging,False
EVHUB-DT4,DT-4,2025-09-12T05:00:00,14.53,2,2025-09-12T06:20:00,Charging,False
EVHUB-DT1,DT-1,2025-09-12T06:00:00,18.2,1,2025-09-12T07:24:00,Charging,False
EVHUB-DT2,DT-2,2025-09-12T06:00:00,10.02,1,2025-09-12T06:21:00,Charging,False
