meter_id,timestamp,soc_pct,power_kw,direction,available_energy_kwh,temperature_c,health_pct
10006,2025-09-12T00:00:00,49.7,0.0,Idle,4.97,21.2,97.8
20018,2025-09-12T00:00:00,43.4,0.0,Idle,4.34,20.2,97.7
20020,2025-09-12T00:00:00,48.6,0.0,Idle,4.86,21.8,98.9
20027,2025-09-12T00:00:00,54.7,0.0,Idle,5.47,21.8,96.3
30035,2025-09-12T00:00:00,53.3,0.0,Idle,5.33,22.6,98.7
30041,2025-09-12T00:00:00,36.5,0.0,Idle,3.65,22.5,98.2
40045,2025-09-12T00:00:00,50.6,0.0,Idle,5.06,21.6,97.2
40051,2025-09-12T00:00:00,43.8,0.0,Idle,4.38,21.5,99.8
10006,2025-09-12T01:00:00,49.7,0.0,Idle,4.97,18.7,96.8
20018,2025-09-12T01:00:00,43.4,0.0,Idle,4.34,20.0,97.7
20020,2025-09-12T01:00:00,48.6,0.0,Idle,4.86,18.9,96.5
20027,2025-09-12T01:00:00,54.7,0.0,Idle,5.47,20.4,99.5
30035,2025-09-12T01:00:00,53.3,0.0,Idle,5.33,20.6,97.7
30041,2025-09-12T01:00:00,36.5,0.0,Idle,3.65,20.8,97.5
40045,2025-09-12T01:00:00,50.6,0.0,Idle,5.06,19.7,98.0
40051,2025-09-12T01:00:00,43.8,0.0,Idle,4.38,18.8,98.8
10006,2025-09-12T02:00:00,49.7,0.0,Idle,4.97,19.2,96.4
20018,2025-09-12T02:00:00,43.4,0.0,Idle,4.34,21.6,99.0
20020,2025-09-12T02:00:00,48.6,0.0,Idle,4.86,21.2,96.8
20027,2025-09-12T02:00:00,54.7,0.0,Idle,5.47,21.6,97.4
30035,2025-09-12T02:00:00,53.3,0.0,Idle,5.33,21.0,98.4
30041,2025-09-12T02:00:00,36.5,0.0,Idle,3.65,21.3,98.1
40045,2025-09-12T02:00:00,50.6,0.0,Idle,5.06,19.5,99.4
40051,2025-09-12T02:00:00,43.8,0.0,Idle,4.38,21.3,97.4
10006,2025-09-12T03:00:00,49.7,0.0,Idle,4.97,19.1,99.9
20018,2025-09-12T03:00:00,43.4,0.0,Idle,4.34,19.5,97.3
20020,2025-09-12T03:00:00,48.6,0.0,Idle,4.86,19.9,97.0
20027,2025-09-12T03:00:00,54.7,0.0,Idle,5.47,19.4,98.9
30035,2025-09-12T03:00:00,53.3,0.0,Idle,5.33,19.4,96.3
30041,2025-09-12T03:00:00,36.5,0.0,Idle,3.65,19.8,99.3
40045,2025-09-12T03:00:00,50.6,0.0,Idle,5.06,19.0,97.7
40051,2025-09-12T03:00:00,43.8,0.0,Idle,4.38,21.2,98.5
10006,2025-09-12T04:00:00,49.7,0.0,Idle,4.97,17.4,99.6
20018,2025-09-12T04:00:00,43.4,0.0,Idle,4.34,18.9,97.8
20020,2025-09-12T04:00:00,48.6,0.0,Idle,4.86,19.2,99.0
20027,2025-09-12T04:00:00,54.7,0.0,Idle,5.47,20.0,96.4
30035,2025-09-12T04:00:00,53.3,0.0,Idle,5.33,19.2,96.1
30041,2025-09-12T04:00:00,36.5,0.0,Idle,3.65,21.7,98.8
40045,2025-09-12T04:00:00,50.6,0.0,Idle,5.06,18.7,97.3
40051,2025-09-12T04:00:00,43.8,0.0,Idle,4.38,19.4,96.6
10006,2025-09-12T05:00:00,49.7,0.0,Idle,4.97,21.6,99.2
20018,2025-09-12T05:00:00,43.4,0.0,Idle,4.34,19.5,96.4
20020,2025-09-12T05:00:00,48.6,0.0,Idle,4.86,20.1,96.8
20027,2025-09-12T05:00:00,54.7,0.0,Idle,5.47,19.3,98.1
30035,2025-09-12T05:00:00,53.3,0.0,Idle,5.33,19.6,99.1
30041,2025-09-12T05:00:00,36.5,0.0,Idle,3.65,19.7,98.3
40045,2025-09-12T05:00:00,50.6,0.0,Idle,5.06,21.8,98.8
40051,2025-09-12T05:00:00,43.8,0.0,Idle,4.38,18.7,97.5
10006,2025-09-12T06:00:00,49.7,0.0,Idle,4.97,22.5,97.2
20018,2025-09-12T06:00:00,43.4,0.0,Idle,4.34,20.5,99.4
20020,2025-09-12T06:00:00,48.6,0.0,Idle,4.86,20.9,97.0
20027,2025-09-12T06:00:00,54.7,0.0,Idle,5.47,20.2,96.1
30035,2025-09-12T06:00:00,53.3,0.0,Idle,5.33,20.3,97.2
30041,2025-09-12T06:00:00,36.5,0.0,Idle,3.65,20.8,97.0
40045,2025-09-12T06:00:00,50.6,0.0,Idle,5.06,21.8,97.1
40051,2025-09-12T06:00:00,43.8,0.0,Idle,4.38,21.8,97.1
10006,2025-09-12T07:00:00,49.7,0.0,Idle,4.97,22.2,99.5
20018,2025-09-12T07:00:00,43.4,0.0,Idle,4.34,23.6,96.6
20020,2025-09-12T07:00:00,48.6,0.0,Idle,4.86,23.6,98.4
20027,2025-09-12T07:00:00,54.7,0.0,Idle,5.47,20.9,98.2
30035,2025-09-12T07:00:00,53.3,0.0,Idle,5.33,22.3,98.6
30041,2025-09-12T07:00:00,36.5,0.0,Idle,3.65,21.2,99.7
40045,2025-09-12T07:00:00,50.6,0.0,Idle,5.06,22.5,96.2
40051,2025-09-12T07:00:00,43.8,0.0,Idle,4.38,21.6,99.7
10006,2025-09-12T08:00:00,49.7,0.0,Idle,4.97,23.0,96.9
20018,2025-09-12T08:00:00,43.4,0.0,Idle,4.34,25.4,97.8
20020,2025-09-12T08:00:00,48.6,0.0,Idle,4.86,23.0,99.8
20027,2025-09-12T08:00:00,54.7,0.0,Idle,5.47,25.3,98.0
30035,2025-09-12T08:00:00,53.3,0.0,Idle,5.33,23.3,96.9
30041,2025-09-12T08:00:00,36.5,0.0,Idle,3.65,23.7,99.8
40045,2025-09-12T08:00:00,50.6,0.0,Idle,5.06,25.9,98.6
40051,2025-09-12T08:00:00,43.8,0.0,Idle,4.38,25.6,96.3
10006,2025-09-12T09:00:00,97.7,-4.8,Charging,9.77,32.4,96.5
20018,2025-09-12T09:00:00,93.2,-4.98,Charging,9.32,32.3,97.2
