meter_id,timestamp,current_consumption_kw,daily_import_kwh,daily_export_kwh,voltage_rms_v,power_factor,grid_connection_status
10000,2025-09-12T00:00:00,1.71,1.71,0.0,229.5,0.98,Connected
10001,2025-09-12T00:00:00,1.74,1.74,0.0,232.2,0.95,Connected
10002,2025-09-12T00:00:00,1.63,1.63,0.0,226.5,0.98,Connected
10003,2025-09-12T00:00:00,1.86,1.86,0.0,232.7,0.98,Connected
10004,2025-09-12T00:00:00,1.52,1.52,0.0,234.3,0.93,Connected
10005,2025-09-12T00:00:00,1.83,1.83,0.0,229.2,0.93,Connected
10006,2025-09-12T00:00:00,1.44,1.44,0.0,230.6,0.87,Connected
10007,2025-09-12T00:00:00,1.72,1.72,0.0,230.0,0.87,Connected
10008,2025-09-12T00:00:00,1.87,1.87,0.0,224.5,0.94,Connected
10009,2025-09-12T00:00:00,1.49,1.49,0.0,232.3,0.92,Connected
10010,2025-09-12T00:00:00,1.74,1.74,0.0,230.8,0.93,Connected
10011,2025-09-12T00:00:00,1.69,1.69,0.0,233.7,0.94,Connected
20012,2025-09-12T00:00:00,0.38,0.38,0.0,228.7,0.86,Connected
20013,2025-09-12T00:00:00,0.4,0.4,0.0,228.0,0.99,Connected
20014,2025-09-12T00:00:00,0.37,0.37,0.0,228.2,0.97,Connected
20015,2025-09-12T00:00:00,0.45,0.45,0.0,227.9,0.86,Connected
20016,2025-09-12T00:00:00,0.46,0.46,0.0,231.5,0.85,Connected
20017,2025-09-12T00:00:00,0.41,0.41,0.0,231.8,0.99,Connected
20018,2025-09-12T00:00:00,0.39,0.39,0.0,231.1,0.95,Connected
20019,2025-09-12T00:00:00,0.47,0.47,0.0,228.0,0.86,Connected
20020,2025-09-12T00:00:00,0.4,0.4,0.0,231.2,0.96,Connected
20021,2025-09-12T00:00:00,0.42,0.42,0.0,227.6,1.0,Connected
20022,2025-09-12T00:00:00,0.39,0.39,0.0,234.6,0.86,Connected
20023,2025-09-12T00:00:00,0.39,0.39,0.0,227.4,0.89,Connected
20024,2025-09-12T00:00:00,0.44,0.44,0.0,235.2,0.94,Connected
20025,2025-09-12T00:00:00,0.45,0.45,0.0,229.3,0.92,Connected
20026,2025-09-12T00:00:00,0.42,0.42,0.0,226.8,0.86,Connected
20027,2025-09-12T00:00:00,0.48,0.48,0.0,232.9,0.91,Connected
20028,2025-09-12T00:00:00,0.37,0.37,0.0,223.5,0.88,Connected
30029,2025-09-12T00:00:00,0.84,0.84,0.0,225.7,0.96,Connected
30030,2025-09-12T00:00:00,0.77,0.77,0.0,232.1,0.86,Connected
30031,2025-09-12T00:00:00,0.72,0.72,0.0,235.2,0.88,Connected
30032,2025-09-12T00:00:00,0.92,0.92,0.0,225.8,0.96,Connected
30033,2025-09-12T00:00:00,0.72,0.72,0.0,226.0,0.97,Connected
30034,2025-09-12T00:00:00,0.75,0.75,0.0,230.8,0.98,Connected
30035,2025-09-12T00:00:00,0.73,0.73,0.0,230.2,0.86,Connected
30036,2025-09-12T00:00:00,0.86,0.86,0.0,230.8,0.87,Connected
30037,2025-09-12T00:00:00,0.76,0.76,0.0,229.5,0.87,Connected
30038,2025-09-12T00:00:00,0.87,0.87,0.0,231.0,0.93,Connected
30039,2025-09-12T00:00:00,0.75,0.75,0.0,231.9,0.94,Connected
