meter_id,timestamp,instantaneous_power_kw,voltage_v,current_a,temperature_c,daily_energy_kwh,efficiency_pct,status,irradiance_estimate_w_m2
10006,2025-09-12T00:00:00,0.0,223.7,0,20.0,0.0,96.4,Disconnected,0.0
10008,2025-09-12T00:00:00,0.0,228.4,0,20.7,0.0,96.5,Disconnected,0.0
10010,2025-09-12T00:00:00,0.0,230.4,0,20.6,0.0,95.9,Disconnected,0.0
20018,2025-09-12T00:00:00,0.0,231.7,0,19.1,0.0,95.1,Disconnected,0.0
20020,2025-09-12T00:00:00,0.0,234.3,0,20.7,0.0,96.8,Disconnected,0.0
20025,2025-09-12T00:00:00,0.0,233.7,0,21.4,0.0,95.2,Disconnected,0.0
20027,2025-09-12T00:00:00,0.0,230.0,0,21.6,0.0,96.4,Disconnected,0.0
30029,2025-09-12T00:00:00,0.0,232.0,0,19.7,0.0,96.9,Disconnected,0.0
30035,2025-09-12T00:00:00,0.0,228.3,0,19.8,0.0,95.8,Disconnected,0.0
30041,2025-09-12T00:00:00,0.0,235.7,0,21.1,0.0,97.1,Disconnected,0.0
40044,2025-09-12T00:00:00,0.0,230.3,0,22.4,0.0,95.2,Disconnected,0.0
40045,2025-09-12T00:00:00,0.0,225.3,0,22.9,0.0,96.2,Disconnected,0.0
40046,2025-09-12T00:00:00,0.0,230.1,0,21.2,0.0,95.6,Disconnected,0.0
40048,2025-09-12T00:00:00,0.0,221.7,0,22.0,0.0,96.2,Disconnected,0.0
40049,2025-09-12T00:00:00,0.0,226.4,0,19.3,0.0,95.8,Disconnected,0.0
40051,2025-09-12T00:00:00,0.0,226.2,0,24.6,0.0,97.3,Disconnected,0.0
40055,2025-09-12T00:00:00,0.0,230.0,0,21.9,0.0,95.2,Disconnected,0.0
40059,2025-09-12T00:00:00,0.0,231.7,0,22.9,0.0,96.3,Disconnected,0.0
10006,2025-09-12T01:00:00,0.0,229.8,0,20.0,0.0,96.9,Disconnected,0.0
10008,2025-09-12T01:00:00,0.0,228.2,0,21.3,0.0,95.8,Disconnected,0.0
10010,2025-09-12T01:00:00,0.0,230.8,0,19.6,0.0,97.7,Disconnected,0.0
20018,2025-09-12T01:00:00,0.0,225.4,0,22.6,0.0,96.9,Disconnected,0.0
20020,2025-09-12T01:00:00,0.0,232.1,0,20.7,0.0,95.8,Disconnected,0.0
20025,2025-09-12T01:00:00,0.0,228.8,0,21.9,0.0,95.2,Disconnected,0.0
20027,2025-09-12T01:00:00,0.0,228.1,0,20.2,0.0,96.8,Disconnected,0.0
30029,2025-09-12T01:00:00,0.0,222.7,0,21.9,0.0,96.5,Disconnected,0.0
30035,2025-09-12T01:00:00,0.0,231.3,0,20.1,0.0,95.5,Disconnected,0.0
30041,2025-09-12T01:00:00,0.0,230.9,0,19.8,0.0,95.6,Disconnected,0.0
40044,2025-09-12T01:00:00,0.0,231.8,0,20.4,0.0,97.9,Disconnected,0.0
40045,2025-09-12T01:00:00,0.0,227.5,0,19.8,0.0,95.3,Disconnected,0.0
40046,2025-09-12T01:00:00,0.0,232.2,0,20.5,0.0,97.1,Disconnected,0.0
40048,2025-09-12T01:00:00,0.0,231.8,0,19.0,0.0,95.9,Disconnected,0.0
40049,2025-09-12T01:00:00,0.0,229.8,0,20.2,0.0,95.7,Disconnected,0.0
40051,2025-09-12T01:00:00,0.0,232.5,0,19.1,0.0,95.8,Disconnected,0.0
40055,2025-09-12T01:00:00,0.0,230.2,0,21.1,0.0,95.8,Disconnected,0.0
40059,2025-09-12T01:00:00,0.0,231.7,0,21.1,0.0,96.1,Disconnected,0.0
10006,2025-09-12T02:00:00,0.0,231.9,0,21.5,0.0,97.7,Disconnected,0.0
10008,2025-09-12T02:00:00,0.0,227.5,0,18.6,0.0,96.8,Disconnected,0.0
10010,2025-09-12T02:00:00,0.0,230.6,0,20.6,0.0,97.7,Disconnected,0.0
20018,2025-09-12T02:00:00,0.0,230.6,0,20.4,0.0,96.9,Disconnected,0.0
20020,2025-09-12T02:00:00,0.0,229.7,0,19.2,0.0,98.0,Disconnected,0.0
20025,2025-09-12T02:00:00,0.0,225.3,0,19.8,0.0,97.7,Disconnected,0.0
20027,2025-09-12T02:00:00,0.0,228.5,0,17.9,0.0,97.7,Disconnected,0.0
30029,2025-09-12T02:00:00,0.0,227.4,0,17.5,0.0,97.6,Disconnected,0.0
30035,2025-09-12T02:00:00,0.0,231.5,0,17.6,0.0,96.7,Disconnected,0.0
30041,2025-09-12T02:00:00,0.0,227.1,0,21.8,0.0,96.8,Disconnected,0.0
40044,2025-09-12T02:00:00,0.0,223.9,0,16.9,0.0,97.6,Disconnected,0.0
40045,2025-09-12T02:00:00,0.0,226.3,0,22.1,0.0,96.7,Disconnected,0.0
40046,2025-09-12T02:00:00,0.0,230.7,0,20.0,0.0,97.3,Disconnected,0.0
40048,2025-09-12T02:00:00,0.0,227.2,0,19.5,0.0,95.7,Disconnected,0.0
40049,2025-09-12T02:00:00,0.0,225.9,0,20.5,0.0,97.8,Disconnected,0.0
40051,2025-09-12T02:00:00,0.0,232.5,0,20.6,0.0,97.0,Disconnected,0.0
40055,2025-09-12T02:00:00,0.0,233.2,0,23.4,0.0,97.0,Disconnected,0.0
40059,2025-09-12T02:00:00,0.0,232.1,0,19.7,0.0,97.0,Disconnected,0.0
10006,2025-09-12T03:00:00,0.0,225.1,0,21.2,0.0,97.7,Disconnected,0.0
10008,2025-09-12T03:00:00,0.0,227.0,0,21.4,0.0,95.9,Disconnected,0.0
10010,2025-09-12T03:00:00,0.0,224.3,0,20.2,0.0,97.5,Disconnected,0.0
20018,2025-09-12T03:00:00,0.0,232.3,0,19.7,0.0,95.5,Disconnected,0.0
20020,2025-09-12T03:00:00,0.0,229.7,0,21.1,0.0,96.2,Disconnected,0.0
20025,2025-09-12T03:00:00,0.0,227.4,0,20.2,0.0,97.5,Disconnected,0.0
20027,2025-09-12T03:00:00,0.0,228.9,0,20.3,0.0,95.1,Disconnected,0.0
30029,2025-09-12T03:00:00,0.0,234.6,0,20.7,0.0,96.7,Disconnected,0.0
30035,2025-09-12T03:00:00,0.0,230.2,0,19.8,0.0,95.4,Disconnected,0.0
30041,2025-09-12T03:00:00,0.0,235.6,0,20.5,0.0,95.7,Disconnected,0.0
40044,2025-09-12T03:00:00,0.0,234.0,0,20.7,0.0,96.3,Disconnected,0.0
40045,2025-09-12T03:00:00,0.0,226.9,0,17.8,0.0,97.9,Disconnected,0.0
40046,2025-09-12T03:00:00,0.0,231.1,0,21.7,0.0,95.5,Disconnected,0.0
40048,2025-09-12T03:00:00,0.0,225.3,0,20.5,0.0,95.5,Disconnected,0.0
40049,2025-09-12T03:00:00,0.0,227.4,0,22.0,0.0,96.6,Disconnected,0.0
