timestamp,cloud_cover_pct,solar_irradiance_w_m2,temperature_c,wind_speed_m_s,precipitation_probability_pct
2025-09-12T00:00:00,72,0,21.2,2.1,35
2025-09-12T01:00:00,74,0,20.8,1.9,38
2025-09-12T02:00:00,75,0,20.5,1.8,40
2025-09-12T03:00:00,76,0,20.1,1.7,42
2025-09-12T04:00:00,76,0,19.9,1.7,42
2025-09-12T05:00:00,74,0,20.0,1.9,38
2025-09-12T06:00:00,70,38,21.0,2.4,30
2025-09-12T07:00:00,66,142,22.4,2.8,25
2025-09-12T08:00:00,61,298,24.1,3.2,20
2025-09-12T09:00:00,55,461,25.6,3.6,15
2025-09-12T10:00:00,50,598,26.8,4.0,12
2025-09-12T11:00:00,48,694,27.5,4.3,10
2025-09-12T12:00:00,52,742,27.9,4.5,12
2025-09-12T13:00:00,58,698,28.1,4.4,18
2025-09-12T14:00:00,66,591,27.8,4.1,28
2025-09-12T15:00:00,74,437,27.0,3.7,40
2025-09-12T16:00:00,79,271,25.9,3.3,48
2025-09-12T17:00:00,78,118,24.7,2.9,45
2025-09-12T18:00:00,75,22,23.6,2.5,38
2025-09-12T19:00:00,73,0,22.8,2.3,32
2025-09-12T20:00:00,72,0,22.3,2.2,30
2025-09-12T21:00:00,72,0,21.9,2.1,30
2025-09-12T22:00:00,73,0,21.6,2.0,32
2025-09-12T23:00:00,73,0,21.4,2.0,34
